year,quarter,ticker,(-)combined_ratio,(-)debt/asset,(-)debt/equity,(-)expense_ratio,(-)loss_ratio,(-)lt_debt/asset,(-)lt_debt/equity,(-)st_debt/asset,(-)st_debt/equity,acid_test,asset_turnover,cash_ratio,cur_ratio,curasset_turnover,equity_turnover,gross_margin,invst_yield,lib/equity,lib_ratio,liq/reserve,ln_asset,ln_equity,ln_revenue,net_margin,oper_leverage,roa,roca,roe,rotc
2018,1,ABI,-0.8038644008912761,-1.0565594942331416e-09,-2.8565544267921528e-09,-0.4778944083735666,-0.32596999251770953,-5.282797471165708e-10,-1.4282772133960764e-09,-5.282797471165708e-10,-1.4282772133960764e-09,1.4471302338557317,0.14975209339545373,0.3123688714566307,1.4496775921858254,0.16393538195084176,0.4048754543828669,0.43251983459636145,0.020071273424296713,1.7036380273743699,0.6301280016500037,1.4221594270964668,28.269150427427235,27.274552143823303,26.370376364611417,0.1494770723052262,0.40124020521749104,0.02238450449233122,0.024504580941250846,0.060519597569399106,0.07566556343669371
2018,1,AIC,-0.6025364549004056,-1.2020424980147404e-09,-2.437720853627116e-09,-0.2123930881046443,-0.39014336679576134,-6.010212490073702e-10,-1.218860426813558e-09,-6.010212490073702e-10,-1.218860426813558e-09,1.275447427593013,0.07887637688795203,0.09810766473346888,1.2754474287788584,0.12201763451935381,0.1599598925294858,-0.0027844294624834193,0.01420037878838487,1.0279664202538241,0.5068912307324377,0.8127398314818639,28.140146104915015,27.433104770086906,25.600272603224482,-0.04403775741596722,0.14357498552709913,-0.003473538751242035,-0.005373382989433451,-0.0070442749434976824,-0.007044276145186131
2018,1,BIC,-0.7886789524742778,-3.984902869692436e-10,-9.290790577791995e-10,-0.36221448526657335,-0.4264644672077044,-1.992451434846218e-10,-4.6453952888959973e-10,-1.992451434846218e-10,-4.6453952888959973e-10,1.2724031126420536,0.06942640906609703,0.039395675478308675,1.2725716291999605,0.09558483954913294,0.16186749044927448,0.21500033126179655,0.024833378488663377,1.3314973743661358,0.5710910889308336,0.8617037370450332,29.244240451516724,28.397729740407613,26.57675250175623,0.1524277813985757,0.1342429141564954,0.010582513504415131,0.01456978502781317,0.024673102449738055,0.031292811745872076
2018,1,BLI,-0.7235635609811109,-1.1711128836447376e-09,-3.004643317327262e-09,-0.2750361869806043,-0.4485273740005066,-5.855564418223688e-10,-1.502321658663631e-09,-5.855564418223688e-10,-1.502321658663631e-09,1.2739086685832839,0.1192033338344471,0.07108978599213057,1.2743786388885847,0.1539636975167374,0.3058317480840324,0.1889341171344882,0.021707100888255115,1.5656308279832174,0.6102323104738819,0.9925290787331474,28.166213817164003,27.224009431943216,26.0392892608318,0.09705941186496556,0.2909933711825495,0.011569805474314585,0.01494362592952999,0.02968384959867049,0.03710481038377857
2018,1,BMI,-0.5765393644543353,-3.5133500430634824e-10,-9.101620395155173e-10,-0.21467518589747117,-0.3618641785568641,-1.7566750215317412e-10,-4.5508101975775865e-10,-1.7566750215317412e-10,-4.5508101975775865e-10,1.4095286152254711,0.14079970667873434,0.0936045864234973,1.410887180042171,0.16254369969695137,0.3647531462084603,0.0794087051073239,0.019627012111409676,1.5905817193264837,0.6139863133674909,1.091826944274619,29.37018337895857,28.41830092640983,27.409766460450577,0.08470182104649052,0.3466284710145187,0.011925991558500512,0.013767747363965669,0.03089525571629339,0.03826823741729174
2018,1,BVH,-1.2347807657772292,-5.341484084734444e-05,-0.00035586271304862197,-0.26450974241940206,-0.9702710233578271,-3.566534213217031e-05,-0.00023761121837345028,-1.7749498715174123e-05,-0.00011825149467517168,2.1557202632751964,0.06482458908356313,0.44031088636702315,2.1617641759986252,0.11677856818751588,0.43187724193482707,-0.17695907396989055,0.03218940666835944,5.66224418913183,0.8499004282023604,45847625597.781,32.229464384549,30.333007991421656,29.493394098114006,0.06907075703422887,0.4215935413829259,0.0044774834424345135,0.008065984110085037,0.029830088046293318,0.02192896170456052
2018,1,MIG,-0.751323342708679,-0.07109302439132324,-0.25115085517759816,-0.30245683203896734,-0.44886651066971167,-0.001254891133250947,-0.004433163224790674,-0.0698381332580723,-0.2467176919528075,1.037291483916495,0.11516704348782607,0.0077670909737707254,1.0426203400171472,0.15673635732741367,0.4068514697170952,0.17111789879492073,0.018371909002620982,2.5327074256282534,0.7169309881861612,0.8240697293897682,28.790266654640966,27.52820210157297,26.62889500215685,0.03273420705824908,0.3737341613706335,0.0037699018478168753,0.005130640374311274,0.01331796025167235,0.013344115146021174
2018,1,PGI,-0.7121050913361354,-3.9994237329560887e-10,-1.4322298255064536e-09,-0.2405500777697235,-0.47155501356641194,-1.9997118664780444e-10,-7.161149127532268e-10,-1.9997118664780444e-10,-7.161149127532268e-10,1.183826599179908,0.11098257635969791,0.03512009143118928,1.185615128671909,0.13053850850734686,0.39743864763341896,0.21235026772802318,0.004647814978703631,2.581090479872338,0.7207554498774773,0.8744726238536163,29.240603105502238,27.964935748155508,27.04222104577895,0.0630557753781556,0.3503404344464575,0.006998092405826112,0.008231206870638715,0.025060802091770796,0.03120109589455906
2018,1,PTI,-0.7045556862243718,-0.04076259554807993,-0.12120487284990579,-0.3546232896729682,-0.3499323965514036,-0.000744468885775707,-0.0022136288287806526,-0.04001812666230422,-0.11899124402112514,1.2373944742577299,0.12030914554975913,0.030433099805492896,1.2401155034208204,0.14640050141907104,0.35773126055821625,0.2673433021332104,0.010915250008449317,1.9734336398412935,0.6636884756394379,1.0311612963223002,29.379631103171963,28.289913710444548,27.261940467138384,0.04568435819901552,0.2921270207077028,0.00549624609991269,0.006688212947344321,0.016342723046326904,0.017239574973647035
2018,1,PVI,-0.5563293154959417,-1.0012716633827788e-10,-2.754304015235515e-10,-0.14979900869205076,-0.4065303068038909,-5.006358316913894e-11,-1.3771520076177574e-10,-5.006358316913894e-11,-1.3771520076177574e-10,1.235303141239245,0.05605192889349897,0.07197934332810213,1.2362488006176868,0.07164768216803559,0.15418797760787112,0.14969677709104168,0.0166239801111237,1.7508059160789058,0.63647017255749,1.0482573421318029,30.62548253397881,29.613588604841812,27.74400581772286,0.15343869993659368,0.1316444310480787,0.008600535098356872,0.010993527205333647,0.023658402830004362,0.02825114656587935
