year,quarter,ticker,(-)lib/asset,(-)lt_loans/equity,cash_ratio,cur_ratio,gross_margin,roa,roe
2018,1,ABI,-0.6301280016500037,-0.1494770723052262,0.3123688714566307,1.4496775921858254,0.43251983459636145,0.02238450449233122,0.060519597569399106
2018,1,AIC,-0.5068912307324377,0.04403775741596722,0.09810766473346888,1.2754474287788584,-0.0027844294624834193,-0.003473538751242035,-0.0070442749434976824
2018,1,BIC,-0.5710910889308336,-0.1524277813985757,0.039395675478308675,1.2725716291999605,0.21500033126179655,0.010582513504415131,0.024673102449738055
2018,1,BLI,-0.6102323104738819,-0.09705941186496556,0.07108978599213057,1.2743786388885847,0.1889341171344882,0.011569805474314585,0.02968384959867049
2018,1,BMI,-0.6139863133674909,-0.08470182104649052,0.0936045864234973,1.410887180042171,0.0794087051073239,0.011925991558500512,0.03089525571629339
2018,1,BVH,-0.8499004282023604,-0.06907075703422887,0.44031088636702315,2.1617641759986252,-0.17695907396989055,0.0044774834424345135,0.029830088046293318
2018,1,MIG,-0.7169309881861612,-0.03273420705824908,0.0077670909737707254,1.0426203400171472,0.17111789879492073,0.0037699018478168753,0.01331796025167235
2018,1,PGI,-0.7207554498774773,-0.0630557753781556,0.03512009143118928,1.185615128671909,0.21235026772802318,0.006998092405826112,0.025060802091770796
2018,1,PTI,-0.6636884756394379,-0.04568435819901552,0.030433099805492896,1.2401155034208204,0.2673433021332104,0.00549624609991269,0.016342723046326904
2018,1,PVI,-0.63647017255749,-0.15343869993659368,0.07197934332810213,1.2362488006176868,0.14969677709104168,0.008600535098356872,0.023658402830004362
2018,1,VNR,-0.5670554703168476,-0.23970466040844288,0.019323269705933305,1.4270924143267787,0.14111046779288355,0.010339527628650827,0.023881876129068412
2018,2,ABI,-0.6549700588590215,-0.1663267059164382,0.23686968186417515,1.3630217417331636,0.4875765498724707,0.02756087077869197,0.07987964953867775
2018,2,AIC,-0.5628831207215589,0.17723899670834714,0.10527268155338493,1.1686457844653342,-0.06350610967424308,-0.015474518836474558,-0.03540132987318792
2018,2,BIC,-0.5938409430442859,-0.13099647841694056,0.03930834173621067,1.5072442567231412,0.2674390850238546,0.009247253467208697,0.02276756681611308
2018,2,BLI,-0.6066862261141691,-0.018062234101612427,0.3011497251895514,1.362175637785396,0.23622172267461905,0.002188222725225289,0.005563554776142865
2018,2,BMI,-0.6033726960677399,-0.07399647402840953,0.09143280218218684,1.4247153949644575,0.03973131148808415,0.010914411174390355,0.027518053008913437
2018,2,BVH,-0.8414966932374024,-0.04634634270920066,0.2844677323995196,2.6403432199158576,-0.12078556353247752,0.0033342539296145625,0.021035863526863374
