standard,level,industry,ticker,2018q1,2018q2,2018q3,2018q4,2019q1,2019q2,2019q3,2019q4,2020q1,2020q2,2020q3,2020q4
bics,bics_l1,Consumer Discretionary,FTM,39.0,40.0,34.0,37.0,29.0,25.0,38.0,35.0,25.0,0.0,2.0,1.0
bics,bics_l1,Consumer Discretionary,GDT,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
bics,bics_l1,Consumer Discretionary,GIL,96.0,75.0,48.0,81.0,79.0,98.0,83.0,88.0,92.0,100.0,70.0,77.0
bics,bics_l1,Consumer Discretionary,GMC,43.0,63.0,89.0,78.0,100.0,85.0,94.0,89.0,87.0,55.0,60.0,80.0
bics,bics_l1,Consumer Discretionary,GTA,38.0,48.0,39.0,44.0,46.0,68.0,44.0,47.0,57.0,44.0,60.0,48.0
bics,bics_l1,Consumer Discretionary,GTT,14.0,30.0,29.0,27.0,17.0,26.0,20.0,22.0,,,,
bics,bics_l1,Consumer Discretionary,HAX,49.0,62.0,59.0,60.0,78.0,65.0,47.0,74.0,70.0,80.0,89.0,89.0
bics,bics_l1,Consumer Discretionary,HGT,,,,,97.0,94.0,80.0,80.0,49.0,42.0,43.0,39.0
bics,bics_l1,Consumer Discretionary,HHS,,,,,,,,,100.0,,,
bics,bics_l1,Consumer Discretionary,HID,100.0,80.0,81.0,79.0,80.0,85.0,49.0,60.0,46.0,43.0,36.0,
bics,bics_l1,Consumer Discretionary,HLT,,,,,,,31.0,40.0,,,,
bics,bics_l1,Consumer Discretionary,HOT,100.0,100.0,100.0,,,,,,,,,
bics,bics_l1,Consumer Discretionary,HSM,35.0,36.0,28.0,27.0,24.0,30.0,29.0,35.0,36.0,27.0,30.0,27.0
bics,bics_l1,Consumer Discretionary,HTG,48.0,43.0,47.0,49.0,46.0,53.0,81.0,67.0,74.0,36.0,49.0,43.0
bics,bics_l1,Consumer Discretionary,HTL,38.0,53.0,48.0,77.0,100.0,83.0,79.0,65.0,77.0,91.0,78.0,85.0
bics,bics_l1,Consumer Discretionary,HTM,,,47.0,48.0,37.0,44.0,41.0,67.0,47.0,46.0,46.0,44.0
bics,bics_l1,Consumer Discretionary,HU4,32.0,38.0,35.0,40.0,33.0,37.0,29.0,64.0,35.0,34.0,50.0,37.0
bics,bics_l1,Consumer Discretionary,HUG,100.0,96.0,,,,,,98.0,82.0,64.0,86.0,
bics,bics_l1,Consumer Discretionary,IBC,47.0,58.0,86.0,70.0,48.0,66.0,48.0,45.0,12.0,36.0,41.0,45.0
bics,bics_l1,Consumer Discretionary,KDH,100.0,86.0,100.0,100.0,99.0,100.0,100.0,95.0,92.0,89.0,89.0,85.0
bics,bics_l1,Consumer Discretionary,KGM,90.0,56.0,55.0,41.0,42.0,86.0,53.0,69.0,60.0,90.0,51.0,79.0
bics,bics_l1,Consumer Discretionary,KLF,91.0,84.0,96.0,90.0,89.0,100.0,92.0,90.0,81.0,68.0,58.0,61.0
bics,bics_l1,Consumer Discretionary,KMR,36.0,45.0,45.0,41.0,37.0,43.0,40.0,37.0,41.0,36.0,40.0,36.0
bics,bics_l1,Consumer Discretionary,KSD,78.0,77.0,96.0,,,,,,,,,
bics,bics_l1,Consumer Discretionary,M10,41.0,45.0,47.0,43.0,44.0,42.0,52.0,48.0,47.0,49.0,55.0,44.0
bics,bics_l1,Consumer Discretionary,MEG,78.0,62.0,45.0,82.0,91.0,43.0,42.0,69.0,49.0,48.0,46.0,45.0
bics,bics_l1,Consumer Discretionary,MHL,38.0,39.0,39.0,41.0,31.0,39.0,37.0,38.0,36.0,49.0,39.0,32.0
bics,bics_l1,Consumer Discretionary,MNB,26.0,33.0,35.0,47.0,26.0,29.0,37.0,34.0,38.0,,43.0,
bics,bics_l1,Consumer Discretionary,MSH,78.0,75.0,91.0,79.0,85.0,100.0,100.0,94.0,80.0,75.0,74.0,69.0
bics,bics_l1,Consumer Discretionary,MWG,100.0,90.0,97.0,82.0,100.0,100.0,92.0,76.0,100.0,96.0,76.0,69.0
bics,bics_l1,Consumer Discretionary,NDT,25.0,32.0,32.0,28.0,29.0,27.0,33.0,30.0,27.0,35.0,26.0,32.0
